State,District,Crop_Year,Season,Crop,Area_Hectares,Production_Tonnes,Yield_Tonnes_Per_Ha
Karnataka,Mandya,2019.0,Summer,Rice,33162.56,63626.14,1.92
Andhra Pradesh,Prakasam,2021.0,Summer,Wheat,8655.01,15415.31,1.78
Telangana,Nizamabad,2018.0,Summer,Rice,87342.26,314779.31,3.6
Maharashtra,Nagpur,2019.0,Summer,Pulses,98084.5,149039.03,1.52
Telangana,Nizamabad,2019.0,Rabi,Groundnut,22880.14,100023.72,4.37
Punjab,Ludhiana,2016.0,Rabi,Wheat,46282.63,117181.47,2.53
Punjab,Ludhiana,2016.0,Summer,Pulses,116908.31,308123.91,2.64
Tamil Nadu,Coimbatore,2018.0,Summer,Soybean,86025.76,140864.87,1.64
Telangana,Adilabad,2016.0,Kharif,Wheat,48714.52,139334.78,2.86
Punjab,Ludhiana,2018.0,Rabi,Soybean,82070.15,295900.72,3.61
Karnataka,Raichur,2017.0,Summer,Wheat,66426.09,148424.63,2.23
Maharashtra,Pune,2023.0,Summer,Sugarcane,30255.75,74817.88,2.47
Andhra Pradesh,Guntur,2021.0,Rabi,Rice,35790.2,76338.65,2.13
Tamil Nadu,Madurai,2022.0,Kharif,Soybean,50497.67,214294.07,4.24
Maharashtra,Nagpur,2018.0,Kharif,Sugarcane,90673.73,282623.84,3.12
Karnataka,Raichur,2021.0,Summer,Groundnut,46629.59,209459.06,4.49
Telangana,Nizamabad,2015.0,Kharif,Pulses,104026.83,203739.04,1.96
Telangana,Nizamabad,2016.0,Summer,Groundnut,49248.24,161911.73,3.29
Maharashtra,Aurangabad,2015.0,Summer,Sugarcane,83232.59,153452.2,1.84
Tamil Nadu,Coimbatore,2019.0,Kharif,Soybean,54998.0,157358.69,2.86
Karnataka,Raichur,2017.0,Summer,Sugarcane,63383.39,115309.12,1.82
Karnataka,Belgaum,2020.0,Kharif,Cotton,92688.74,289016.2,3.12
Tamil Nadu,Thanjavur,2015.0,Rabi,Soybean,17864.79,46250.91,2.59
Punjab,Ludhiana,2016.0,Kharif,Rice,14850.15,43926.32,2.96
Andhra Pradesh,Prakasam,2022.0,Kharif,Maize,113887.6,227249.14,2.0
Tamil Nadu,Madurai,2023.0,Kharif,Groundnut,91855.5,327887.66,3.57
Karnataka,Belgaum,2020.0,Summer,Groundnut,55381.51,169064.66,3.05
Andhra Pradesh,Guntur,2020.0,Kharif,Cotton,7418.94,23456.94,3.16
Tamil Nadu,Thanjavur,2015.0,Kharif,Rice,31328.31,132088.3,4.22
Punjab,Ludhiana,2022.0,Rabi,Cotton,29637.23,56219.92,1.9
Tamil Nadu,Madurai,2022.0,Kharif,Pulses,97862.15,202695.0,2.07
Andhra Pradesh,Prakasam,2021.0,Rabi,Groundnut,52276.76,213890.9,4.09
Andhra Pradesh,Prakasam,2021.0,Kharif,Wheat,88744.56,346261.53,3.9
Andhra Pradesh,Guntur,2023.0,Kharif,Cotton,56590.56,156509.39,2.77
Punjab,Amritsar,2022.0,Kharif,Cotton,97922.56,398339.25,4.07
Andhra Pradesh,Guntur,2018.0,Kharif,Rice,24125.78,71338.08,2.96
Telangana,Adilabad,2021.0,Kharif,Rice,5247.87,14018.45,2.67
