State,District,Crop_Year,Crop,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Fertilizer_Type,Fertilizer_Used_kg_per_ha
Telangana,Adilabad,2021.0,Groundnut,99.4,59.6,69.4,,
Andhra Pradesh,Krishna,2022.0,Maize,160.3,39.4,63.1,,
Maharashtra,Nagpur,2018.0,Pulses,118.0,84.2,83.0,,
Andhra Pradesh,Guntur,2020.0,Rice,58.7,56.5,25.6,,
Punjab,Amritsar,2021.0,Pulses,160.8,36.8,37.6,,
Andhra Pradesh,Krishna,2019.0,Rice,149.4,79.9,31.8,,
Tamil Nadu,Coimbatore,2015.0,Pulses,146.6,85.3,48.4,,
Andhra Pradesh,Krishna,2022.0,Groundnut,43.3,65.1,76.5,,
Karnataka,Raichur,2017.0,Sugarcane,92.8,53.9,69.7,,
Andhra Pradesh,Krishna,2016.0,Cotton,167.6,34.2,81.7,,
Karnataka,Raichur,2015.0,Wheat,76.6,70.1,43.1,,
Andhra Pradesh,Prakasam,2020.0,Sugarcane,82.5,41.1,61.1,,
Telangana,Nizamabad,2020.0,Groundnut,80.5,89.6,69.0,,
Telangana,Adilabad,2019.0,Cotton,135.8,29.2,87.9,,
Tamil Nadu,Thanjavur,2022.0,Sugarcane,166.7,80.1,38.2,,
Karnataka,Raichur,2022.0,Soybean,153.5,72.9,33.8,,
Telangana,Adilabad,2019.0,Wheat,155.1,23.0,44.3,,
Punjab,Patiala,2020.0,Soybean,123.2,81.8,27.5,,
Andhra Pradesh,Guntur,2023.0,Rice,168.0,85.1,78.4,,
Karnataka,Mandya,2016.0,Soybean,69.5,45.5,33.2,,
Andhra Pradesh,Guntur,2023.0,Sugarcane,98.2,84.8,45.8,,
Maharashtra,Pune,2016.0,Maize,76.8,83.7,62.8,,
Andhra Pradesh,Krishna,2016.0,Wheat,167.4,30.0,71.6,,
Telangana,Nizamabad,2015.0,Soybean,109.4,24.2,31.3,,
Maharashtra,Nagpur,2022.0,Soybean,149.4,65.1,20.9,,
Telangana,Warangal,2022.0,Pulses,74.7,32.2,48.7,,
Maharashtra,Aurangabad,2021.0,Maize,147.6,71.5,51.0,,
Andhra Pradesh,Guntur,2023.0,Sugarcane,42.8,73.0,44.0,,
Telangana,Warangal,2017.0,Pulses,61.9,62.1,20.8,,
Maharashtra,Aurangabad,2021.0,Sugarcane,121.1,36.0,87.4,,
Andhra Pradesh,Prakasam,2021.0,Wheat,144.8,40.2,85.9,,
Karnataka,Raichur,2023.0,Pulses,76.5,85.0,27.7,,
Punjab,Patiala,2017.0,Soybean,78.5,23.6,50.3,,
Karnataka,Mandya,2022.0,Wheat,156.8,49.7,82.3,,
Punjab,Amritsar,2018.0,Pulses,165.8,35.8,56.9,,
Andhra Pradesh,Guntur,2015.0,Sugarcane,40.1,76.6,44.6,,
Telangana,Adilabad,2020.0,Pulses,137.4,76.6,82.9,,
Tamil Nadu,Madurai,2023.0,Pulses,54.8,62.5,63.1,,
Punjab,Ludhiana,2016.0,Rice,175.0,26.4,38.6,,
Andhra Pradesh,Krishna,2016.0,Groundnut,153.2,82.8,65.8,,
Punjab,Ludhiana,2022.0,Maize,173.2,59.9,82.4,,
Maharashtra,Nagpur,2021.0,Wheat,77.7,40.4,40.4,,
Tamil Nadu,Thanjavur,2017.0,Rice,61.5,53.0,45.6,,
Punjab,Patiala,2016.0,Rice,120.9,36.8,87.5,,
Tamil Nadu,Coimbatore,2017.0,Maize,103.1,81.0,28.4,,
Maharashtra,Pune,2022.0,Wheat,172.8,71.2,80.7,,
Telangana,Warangal,2017.0,Wheat,128.5,57.1,87.0,,
Punjab,Amritsar,2016.0,Groundnut,169.3,79.3,23.0,,
Andhra Pradesh,Guntur,2015.0,Cotton,67.2,59.4,79.4,,
Tamil Nadu,Coimbatore,2015.0,Cotton,167.6,73.3,88.6,,
Punjab,Amritsar,2022.0,Soybean,72.6,75.7,38.4,,
Telangana,Warangal,2018.0,Pulses,126.3,27.7,76.3,,
Punjab,Amritsar,2022.0,Wheat,177.4,85.4,22.4,,
Tamil Nadu,Coimbatore,2015.0,Pulses,96.9,77.1,52.7,,
Karnataka,Mandya,2022.0,Cotton,101.3,47.7,75.5,,
Telangana,Nizamabad,2015.0,Cotton,171.2,89.6,52.5,,
Telangana,Warangal,2015.0,Rice,166.9,62.9,43.6,,
Punjab,Amritsar,2015.0,Groundnut,131.3,26.7,40.0,,
Karnataka,Raichur,2017.0,Pulses,172.0,31.0,20.7,,
Maharashtra,Aurangabad,2022.0,Pulses,150.3,39.7,80.5,,
Karnataka,Raichur,2015.0,Rice,132.1,57.2,71.4,,
Punjab,Amritsar,2022.0,Soybean,65.3,22.7,42.3,,
Telangana,Warangal,2016.0,Sugarcane,64.2,60.7,48.8,,
Tamil Nadu,Madurai,2023.0,Soybean,104.6,61.0,69.1,,
Telangana,Nizamabad,2018.0,Sugarcane,57.4,59.1,80.8,,
Telangana,Nizamabad,2016.0,Sugarcane,43.7,89.5,39.4,,
Maharashtra,Aurangabad,2016.0,Maize,140.7,42.8,64.7,,
Andhra Pradesh,Guntur,2023.0,Rice,175.3,34.8,67.5,,
Tamil Nadu,Thanjavur,2022.0,Maize,69.3,25.7,84.3,,
Punjab,Amritsar,2022.0,Pulses,122.8,42.6,31.0,,
Karnataka,Belgaum,2016.0,Pulses,168.4,88.6,67.4,,
Tamil Nadu,Coimbatore,2018.0,Cotton,132.1,61.4,32.5,,
Karnataka,Mandya,2019.0,Wheat,120.5,77.9,32.0,,
Karnataka,Belgaum,2015.0,Groundnut,75.7,32.8,75.6,,
Punjab,Ludhiana,2021.0,Pulses,174.0,31.8,27.0,,
Maharashtra,Pune,2020.0,Rice,160.6,30.3,73.3,,
Karnataka,Raichur,2017.0,Sugarcane,178.4,23.6,78.2,,
Telangana,Adilabad,2018.0,Maize,102.9,59.7,29.6,,
Punjab,Amritsar,2016.0,Maize,115.4,36.5,89.7,,
Telangana,Warangal,2016.0,Cotton,64.3,22.8,29.1,,
Karnataka,Raichur,2020.0,Wheat,44.0,89.5,51.1,,
Tamil Nadu,Thanjavur,2023.0,Wheat,135.3,46.7,65.2,,
Tamil Nadu,Thanjavur,2021.0,Wheat,99.4,57.0,52.8,,
Telangana,Adilabad,2022.0,Maize,138.6,53.2,43.1,,
Tamil Nadu,Madurai,2016.0,Rice,179.9,56.3,26.0,,
Punjab,Patiala,2020.0,Rice,130.3,22.2,34.5,,
Andhra Pradesh,Prakasam,2017.0,Pulses,144.3,37.2,47.1,,
Andhra Pradesh,Prakasam,2022.0,Soybean,91.4,88.1,34.9,,
Andhra Pradesh,Guntur,2015.0,Cotton,79.7,83.3,38.6,,
Tamil Nadu,Coimbatore,2019.0,Sugarcane,129.3,35.8,59.7,,
