State,District,Crop_Year,Annual_Rainfall_mm,Monsoon_Rainfall_mm,Deviation_From_Normal_%
Andhra Pradesh,Krishna,2019.0,538.9,399.6,-6.92
Andhra Pradesh,Krishna,2020.0,793.9,563.3,-10.97
Tamil Nadu,Thanjavur,2015.0,581.9,365.8,-0.08
Punjab,Patiala,2018.0,524.8,391.6,-21.42
Punjab,Patiala,2016.0,712.3,396.5,11.89
Tamil Nadu,Thanjavur,2021.0,941.1,521.2,-21.39
Punjab,Amritsar,2021.0,751.5,491.4,-24.72
Andhra Pradesh,Guntur,2015.0,1122.6,625.8,-10.36
Maharashtra,Pune,2020.0,676.3,434.4,1.42
Telangana,Adilabad,2023.0,1066.8,661.6,-6.94
Andhra Pradesh,Krishna,2023.0,906.7,524.4,-10.9
Maharashtra,Nagpur,2020.0,810.4,455.5,23.31
Tamil Nadu,Thanjavur,2022.0,921.7,643.1,-20.54
Tamil Nadu,Thanjavur,2017.0,967.3,552.7,15.72
Punjab,Ludhiana,2020.0,541.9,371.2,-6.59
Punjab,Patiala,2015.0,715.8,409.3,22.0
Maharashtra,Nagpur,2022.0,679.7,459.7,9.19
Maharashtra,Pune,2021.0,1114.7,795.6,16.66
Andhra Pradesh,Prakasam,2015.0,983.5,716.5,13.84
Telangana,Nizamabad,2018.0,585.1,375.5,-1.41
Telangana,Adilabad,2019.0,1174.4,669.3,0.49
Punjab,Amritsar,2021.0,915.6,555.4,13.05
Karnataka,Raichur,2017.0,675.9,413.4,22.07
Tamil Nadu,Thanjavur,2017.0,855.9,603.0,18.34
Telangana,Adilabad,2017.0,690.3,482.6,9.03
Maharashtra,Aurangabad,2017.0,1046.8,671.5,10.85
Tamil Nadu,Thanjavur,2019.0,1140.8,695.7,1.51
Tamil Nadu,Coimbatore,2015.0,1122.3,746.2,-9.52
Punjab,Patiala,2019.0,1127.9,673.3,23.52
Tamil Nadu,Thanjavur,2019.0,892.2,641.1,0.16
Tamil Nadu,Thanjavur,2022.0,1026.4,662.7,8.3
Karnataka,Belgaum,2021.0,1062.0,765.4,-1.5
Telangana,Adilabad,2023.0,531.7,318.8,17.82
Punjab,Ludhiana,2016.0,1098.5,704.0,-3.83
Tamil Nadu,Madurai,2022.0,714.6,455.2,-2.11
Maharashtra,Aurangabad,2021.0,1027.5,707.3,-20.92
Andhra Pradesh,Prakasam,2018.0,1125.9,656.1,16.93
Telangana,Adilabad,2018.0,579.3,369.0,3.97
Andhra Pradesh,Prakasam,2020.0,794.3,573.1,-9.07
Andhra Pradesh,Guntur,2020.0,1092.0,695.8,14.31
Karnataka,Raichur,2021.0,839.5,572.8,17.79
