State,District,Crop_Year,Soil_Type,pH_Level,Organic_Carbon_%,Fertility_Level
Maharashtra,Nagpur,2021,Loamy,6.11,0.43,Low
Telangana,Nizamabad,2018,Alluvial,7.75,0.31,Low
Telangana,Nizamabad,2022,Red,5.91,0.43,Low
Andhra Pradesh,Krishna,2019,Black,5.83,0.38,Medium
Karnataka,Raichur,2021,Loamy,5.61,0.66,High
Karnataka,Raichur,2017,Clay,7.35,0.53,High
Maharashtra,Aurangabad,2021,Alluvial,7.09,1.17,High
Andhra Pradesh,Prakasam,2022,Black,6.66,0.83,High
Tamil Nadu,Thanjavur,2019,Red,7.74,0.34,High
Telangana,Warangal,2018,Black,7.43,0.99,High
Tamil Nadu,Thanjavur,2022,Loamy,6.88,1.04,High
Maharashtra,Nagpur,2022,Red,6.03,0.77,High
Maharashtra,Pune,2017,Red,6.06,0.54,Low
Karnataka,Mandya,2020,Loamy,6.86,0.98,Low
Tamil Nadu,Coimbatore,2019,Loamy,6.23,0.43,Low
Maharashtra,Pune,2016,Clay,7.91,0.5,Low
Punjab,Patiala,2022,Black,7.4,0.78,Low
Maharashtra,Aurangabad,2020,Alluvial,6.48,1.15,Medium
Punjab,Amritsar,2016,Black,6.16,0.8,Medium
Punjab,Ludhiana,2019,Black,7.6,0.42,Medium
Maharashtra,Nagpur,2015,Loamy,5.96,0.63,Low
Andhra Pradesh,Prakasam,2020,Clay,5.67,0.9,Low
Karnataka,Raichur,2023,Black,7.93,0.87,High
Punjab,Amritsar,2015,Black,7.43,0.53,Low
Punjab,Ludhiana,2017,Alluvial,6.39,0.67,Medium
Telangana,Nizamabad,2021,Clay,7.03,0.31,Medium
Maharashtra,Aurangabad,2018,Alluvial,6.12,0.87,High
Maharashtra,Aurangabad,2023,Loamy,6.07,1.01,High
Punjab,Amritsar,2017,Alluvial,5.56,1.19,Low
Telangana,Warangal,2019,Black,7.69,1.08,Medium
Tamil Nadu,Madurai,2017,Loamy,6.96,0.39,Medium
Karnataka,Mandya,2021,Red,6.72,0.94,Medium
Telangana,Nizamabad,2019,Alluvial,7.43,1.19,High
Telangana,Warangal,2023,Alluvial,5.52,0.33,High
Andhra Pradesh,Guntur,2021,Alluvial,5.65,0.34,High
Telangana,Nizamabad,2016,Black,5.78,1.16,Low
Telangana,Nizamabad,2018,Clay,6.7,0.39,Low
Punjab,Ludhiana,2023,Loamy,6.76,1.06,Medium
Punjab,Amritsar,2016,Alluvial,7.5,1.09,Medium
Telangana,Nizamabad,2023,Red,7.66,0.84,High
Punjab,Amritsar,2019,Black,6.78,0.34,Medium
Tamil Nadu,Thanjavur,2016,Red,7.16,0.44,Low
Karnataka,Raichur,2018,Alluvial,6.4,0.9,Low
Karnataka,Raichur,2021,Black,6.67,0.93,High
Maharashtra,Pune,2022,Red,6.14,0.85,Low
Telangana,Adilabad,2017,Black,7.99,1.13,Medium
Maharashtra,Nagpur,2015,Red,6.71,0.84,High
Punjab,Ludhiana,2018,Black,7.74,1.05,Low
Andhra Pradesh,Guntur,2016,Red,6.06,1.19,Low
Andhra Pradesh,Krishna,2022,Alluvial,7.01,0.95,High
Maharashtra,Pune,2018,Alluvial,6.14,0.52,Low
Punjab,Ludhiana,2016,Clay,6.04,0.61,High
